ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Unnamed: 20,Unnamed: 21
B079JQDJB5,Visit Amazon's Kristina McMorris Page,Sold on a Monday: A Novel,Kindle Store,,1.0,,7.59,0.0,,,"1,068",4.5,"6,757",0.0,,,,1.0,,,
178681630X,Visit Amazon's Kate Hewitt Page,The Secrets We Keep: A gripping emotional page turner,Books,Amazon,14.0,AMZ,9.89,8.0,"1,357","13,420.73",948,4.5,"1,437",196.0,5.0x8.0x1.2,0.84,Large Standard-Size,2.0,,,
B07GVN38FX,Visit Amazon's Beth Duke Page,It All Comes Back to You: A Book Club Recommendation!,Kindle Store,,1.0,,8.99,0.0,,,"1,291",4.5,"1,846",0.0,,,,1.0,,,
B088LTKJKJ,($) S-DCYCLE,"($) S-DCYCLE Out Pocket High Waist Yoga Pants,Tummy Control,Pocket Workout Yoga Pant",($) Sports & Outdoors,($) Delong industry,,,12.99,0.0,,,"10,741",4.5,71,,,,,,04/01/2020,,
1451645856,Visit Amazon's William Kent Krueger Page,Ordinary Grace,Books,Amazon,29.0,AMZ,10.39,6.0,"1,831","19,024.09",758,4.5,"7,038",455.0,5.3x8.2x1.0,0.6,Large Standard-Size,4.0,,,
B07Q38YX7X,Visit Amazon's Angela Petch Page,"The Tuscan Secret: An absolutely gripping, emotional, World War 2 historical novel",Kindle Store,,,,3.99,0.0,,,"1,867",4.5,"1,608",0.0,,,,1.0,,,
B07FSXPMHY,Delia Owens,Where the Crawdads Sing,Unknown,,1.0,,27.56,0.0,,,16,5.0,"89,717",3658.0,,,,1.0,,,
B087ZW39D2,Seckton,"Seckton Upgrade Kids Selfie Camera, Best Birthday Gifts for Girls Age 3-9, HD Digital Video Cameras for Toddler, Portable Toy for 3 4 5 6 7 8 Year Old Girl with 32GB SD Card-Pink",Toys & Games,Seckton,1.0,FBA,29.99,7.0,"15,330","459,746.70",84,4.5,"1,051",549.0,3.1x5.3x2.2,0.33,Large Standard-Size,7.0,,,
B077ZTJWVT,($) Amplim,($) Amplim Non-Contact Touchless Infrared Digital Forehead Thermometer for Adults and Baby Hospital Medical Grade No Touch,($) Baby,($) Amplim,2.0,FBA,34.98,7.0,"4,257","148,909.86",467,4.5,"1,538",465.0,2.7x8.1x1.8,0.35,Large Standard-Size,9.0,01/24/2018,,
B0787QZTWZ,($) Axvue,"($) Video Baby Monitor 2 Cameras, Large Vertical Screen, Comfort-Designed Handheld, 1000ft Range, Secure Wireless Technology, Auto Ninght Vision Cam, Temperaure Alert.",($) Baby,($) AXVUE,1.0,FBA,69.99,15.0,324,"22,676.76","4,739",4.0,843,147.0,5.5x6.3x3.7,1.4,Large Standard-Size,6.0,,,
B082QKPY3Y,($) DASH,"($) Dash DCAF250GBRD02 AirCrisp Pro Electric Air Fryer + Oven Cooker with Temperature Control, Non Stick Fry Basket, Recipe Guide + Auto Shut Off Feature, 2qt, Red",($) Kitchen & Dining,($) Amazon,1.0,AMZ,48.94,19.0,889,"43,507.66","2,903",4.5,"2,180",768.0,10.1x13.9x9.9,7.4,Small Oversize,6.0,12/13/2019,,
1101904216,Visit Amazon's Ben Macintyre Page,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Books,Amazon,24.0,AMZ,14.89,7.0,"1,215","18,091.35","1,977",4.5,"4,377",811.0,5.0x7.7x0.9,0.73,Large Standard-Size,1.0,,,
B07WSFQHSX,Lucy Foley,The Guest List: A Novel,Unknown,,,,26.94,0.0,,,26,4.5,"7,037",3547.0,,,,1.0,,,
0718084225,Visit Amazon's Lauren K. Denton Page,The Hideaway,Books,Amazon,28.0,AMZ,9.49,6.7,"1,205","11,435.45","2,330",4.5,"5,456",467.0,5.4x8.3x1.0,0.66,Large Standard-Size,6.0,,,
B086MBSPDK,Visit Amazon's Michael C. Grumley Page,The Last Monument,Kindle Store,,,,6.99,0.0,,,341,4.5,"1,700",0.0,,,,1.0,,,
B07NKP3JL4,Visit Amazon's Jojo Moyes Page,The Giver of Stars: A Novel,Kindle Store,,,,13.99,0.0,,,251,4.5,"11,710",0.0,,,,1.0,,,
1250301696,Visit Amazon's Alex Michaelides Page,The Silent Patient,Books,Amazon,71.0,AMZ,14.79,8.92,"5,803","85,826.37",105,4.5,"28,274",6632.0,5.5x9.5x1.5,1.17,Large Standard-Size,2.0,,,
B0030AOBSO,Visit Amazon's Harlan Coben Page,Caught,Kindle Store,,1.0,,9.99,0.0,,,"7,833",4.5,"2,597",0.0,,,,1.0,,,
B07MYLK9FP,Visit Amazon's John Grisham Page,The Guardians: A Novel,Kindle Store,,,,9.99,0.0,,,529,4.5,"13,794",0.0,1.0x1.0x1.0,,,,,,
B00YTWEMUO,($) Playskool,"($) Playskool Sit ‘n Spin Classic Spinning Activity Toy for Toddlers Ages Over 18 Months (Amazon Exclusive),Multicolor",($) Toys & Games,($) Amazon,1.0,AMZ,35.99,17.84,"21,874","787,245.26",83,4.5,"7,721",1519.0,18.0x18.0x4.0,4.4,Small Oversize,6.0,08/01/2018,,
B08GKL1S8G,($) Sytiz,($) Sytiz Women Seamless Smile Contour Workout Outfits Yoga Set Sport Bra + Leggings,($) Sports & Outdoors,($) Sytiz,1.0,FBA,19.8,7.0,37,732.60,"73,050",5.0,2,0.0,7.9x11.5x1.7,0.7,Large Standard-Size,7.0,09/01/2020,,
B087BGVNRP,Visit Amazon's Claire Amarti Page,"The Silent Daughter: A gripping pageturner of family secrets, with a twist you won't see coming",Unknown,,,,3.99,0.0,,,37,4.0,"1,771",0.0,,,,,,,
B07ZNDQQDM,Ultrean,"Ultrean Air Fryer, 4.2 Quart (4 Liter) Electric Hot Air Fryers Oven Oilless Cooker with LCD Digital Screen and Nonstick Frying Pot, ETL/UL Certified,1-Year Warranty,1500W (Red)",Kitchen & Dining,Ultrean Inc,1.0,FBA,75.99,25.0,"12,487","948,887.13",225,5.0,"7,320",1380.0,13.0x14.0x13.0,10.1,Small Oversize,9.0,01/19/2020,,
1683993039,Visit Amazon's Christopher Greyson Page,The Girl Who Lived: A Thrilling Suspense Novel,Books,Amazon,14.0,AMZ,12.99,7.0,"1,172","15,224.28","1,655",4.5,"5,805",340.0,4.9x7.9x0.9,0.6,Large Standard-Size,2.0,,,
B07DP831WR,Hanes,Hanes Men's Ecosmart Fleece Sweatshirt,"Clothing, Shoes & Jewelry",,9.0,MFN,12.69,8.0,"23,966","304,128.54",2,4.5,"33,492",5304.0,12.7x13.9x2.6,0.8,Large Standard-Size,3.0,07/26/2005,,
B07SSKRYPR,MagicPro,"MagicPro Portable Garment Steamer for Clothes, Garments, Fabrics Removes Wrinkles for Fresh Clothing, Fast Heat and Auto Off, Handheld Travel Steamer with Detachable 300ml Water Tank",Home & Kitchen,LikeYourStyle,2.0,FBA,16.95,8.0,"5,075","86,021.25","2,480",4.5,"6,221",728.0,7.0x12.5x5.2,2.95,Large Standard-Size,9.0,,,
198481835X,Visit Amazon's Jodi Picoult Page,The Book of Two Ways: A Novel,Books,Amazon,24.0,AMZ,17.39,9.0,"4,662","81,072.18",73,4.0,389,0.0,6.6x9.5x1.4,1.53,Large Standard-Size,1.0,,,
1796269409,Visit Amazon's Adiva Geffen Page,"Surviving The Forest (A WW2 Historical Novel, Based on a True Story of a Jewish Holocaust Survivor)",Books,Amazon,3.0,AMZ,13.49,6.0,641,"8,647.09","3,964",4.5,820,140.0,4.9x7.9x0.7,0.65,Small Standard-Size,2.0,,,
0997487151,Visit Amazon's David Crow Page,The Pale-Faced Lie: A True Story,Books,Amazon,13.0,AMZ,13.99,8.0,"1,043","14,591.57","2,885",4.5,"3,180",582.0,5.4x8.4x1.2,0.9,Large Standard-Size,2.0,,,
B07416RXK2,($) GoStock,"($) GoStock Friction Powered Cars Push and Go Toys for 1 2 3 Year Old Boys and Girls, 4 Sets Construction Vehicles of Tractor, Bulldozer, Cement Mixer Truck, Dumper, Best Gifts for Your Kids and Toddlers",($) Unknown,($) Topeasy-US,3.0,FBA,16.98,7.45,,,"2,677",5.0,"1,578",159.0,5.9x9.6x3.1,1.03,Large Standard-Size,9.0,,,
B07V1MZ6RP,($) vmai,"($) Video Baby Monitor, 4.3’’ Baby Monitor with Camera, Infrared Night Vision, Talk Way Audio, VOX Mode, Room Temperature, 5 Lullabies, Zoom, 1800mAh High Capacity, Support up to 4 Cameras,1000ft Range",($) Baby,($) VMAIHOME,1.0,FBA,69.99,15.51,190,"13,298.10","9,311",4.0,851,533.0,5.3x8.7x4.2,1.25,Large Standard-Size,9.0,,,
B01C8YRCYC,($) Beco Baby Carrier,"($) Beco Gemini Baby Carrier - Cool Mesh Navy, Sleek and Simple 5-in-1 All Position Backpack Style Sling for Holding Babies, Infants and Child from 7-35 lbs Certified Ergonomic",($) Baby,($) Boba Inc. (USA),1.0,FBA,78.82,17.0,448,"35,311.36","4,021",4.5,791,109.0,9.1x13.2x3.8,1.6,Large Standard-Size,9.0,,,
B073SK41K4,($) Oliver and Olivia Apparel,"($) Oliver and Olivia Apparel 2nd Birthday Shirt, 2T, Heather Gray","($) Clothing, Shoes & Jewelry",($) Oliver and Olivia Apparel,1.0,FBA,14.98,6.0,680,"10,186.40","12,412",4.5,198,21.0,3.9x6.1x0.8,0.1,Large Standard-Size,2.0,,,
1786814951,Visit Amazon's Colleen Coleman Page,For Once in My Life: An absolutely perfect laugh out loud romantic comedy,Books,Amazon,14.0,AMZ,9.99,5.93,171,"1,708.29","54,427",4.0,415,16.0,5.0x7.7x0.6,0.66,Small Standard-Size,2.0,,,
B01MZ14LJV,Kitchen Gizmo,Kitchen Gizmo Snap N Strain Strainer - Gray | Patented Clip On Silicone Colander | Fits all Pots and Bowls,Kitchen & Dining,Home N' Goods,2.0,FBA,16.99,7.02,"8,904","151,278.96",533,4.5,"1,217",239.0,4.6x9.2x2.9,0.5,Large Standard-Size,5.0,12/18/2016,,
1797209469,Visit Amazon's John Lithgow Page,Trumpty Dumpty Wanted a Crown: Verses for a Despotic Age,Books,Amazon,1.0,AMZ,20.66,7.0,"1,300","26,858.00",220,0.0,0,0.0,6.3x8.3x0.7,0.68,Small Standard-Size,4.0,,,
B07B89ZBZC,Visit Amazon's David Baldacci Page,Long Road to Mercy (An Atlee Pine Thriller Book 1),Kindle Store,,1.0,,9.99,0.0,,,"1,667",4.5,"5,194",0.0,,,,1.0,,,
